Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
0;21;22;1947400;11;7;;;;;;
0;22;43;1998800;20;20;;;;;;
0;23;22;1886900;11;8;;;;;;
0;24;27;1660700;14;10;;;;;;
0;25;16;1646300;8;5;;;;;;
0;26;23;1626800;12;8;;;;;;
0;27;115;1714000;49;63;;;;;;
0;28;19;1689300;10;6;;;;;;
0;29;20;1610000;11;7;;;;;;
0;30;25;1638500;14;9;;;;;;
0;31;20;1585100;11;6;;;;;;
0;32;58;1698000;28;27;;;;;;
0;33;76;1690100;33;40;;;;;;
0;34;22;1615600;12;8;;;;;;
0;35;253;1724200;58;193;;;;;;
0;36;2153;1544300;875;1275;;;;;;
0;37;2108;1667400;847;1259;;;;;;
0;38;2890;1693200;1135;1752;;;;;;
0;39;2498;1743000;997;1497;;;;;;
0;40;2375;1606200;1018;1354;;;;;;
0;41;1202;1581900;452;747;;;;;;
0;42;2233;1609500;910;1321;;;;;;
0;43;1809;1532700;729;1077;;;;;;
0;44;3377;1770100;1337;2036;;;;;;
0;45;2149;1684600;850;1296;;;;;;
0;46;2370;1787200;903;1464;;;;;;
0;47;2630;1643400;1072;1556;;;;;;
0;48;2294;1598900;903;1388;;;;;;
0;49;2162;1665700;871;1288;;;;;;
0;50;2481;1781000;979;1498;;;;;;
0;51;30;3250200;16;9;;;;;;
0;52;55;3354200;29;21;;;;;;
0;53;54;3402100;29;21;;;;;;
0;54;61;3353200;31;25;;;;;;
0;55;61;3435200;33;24;;;;;;
0;56;66;3338000;32;30;;;;;;
0;57;52;3356600;28;20;;;;;;
0;58;40;3566300;23;12;;;;;;
0;59;47;3201700;25;18;;;;;;
0;60;276;3574900;194;77;;;;;;
0;61;1844;3521400;736;1103;;;;;;
0;62;2057;3646500;840;1212;;;;;;
0;63;2541;3646700;989;1546;;;;;;
0;64;1914;3585000;783;1126;;;;;;
0;65;2464;3743500;1015;1443;;;;;;
0;66;2170;3501000;865;1300;;;;;;
0;67;2425;3629900;978;1442;;;;;;
0;68;2165;3614500;894;1266;;;;;;
0;69;2814;3659500;1249;1560;;;;;;
0;70;2713;3756600;1045;1662;;;;;;
0;71;4930;3643000;2051;2873;;;;;;
0;72;3968;3463700;1590;2373;;;;;;
0;73;4149;3412700;1706;2437;;;;;;
0;74;5392;3684900;2267;3120;;;;;;
0;75;5702;3764100;2334;3362;;;;;;
0;76;4745;3576700;1989;2750;;;;;;
0;77;4429;3496400;1824;2600;;;;;;
0;78;3766;3692400;1602;2159;;;;;;
0;79;4354;3939600;1743;2604;;;;;;
0;80;4336;3468100;1774;2557;;;;;;
1;1;1086;1951700;491;592;;;;;;
1;2;1307;1818300;545;760;;;;;;
1;3;1488;1850700;632;853;;;;;;
1;4;1673;2017900;685;984;;;;;;
1;5;1161;2133000;459;699;;;;;;
1;6;1639;1918000;698;939;;;;;;
1;7;986;1687100;431;552;;;;;;
1;8;1479;1891700;618;857;;;;;;
1;9;1392;1822300;506;883;;;;;;
1;10;1341;1993300;479;859;;;;;;
1;11;1798;3601800;728;1065;;;;;;
1;12;3154;4091500;1317;1832;;;;;;
1;13;2621;3817400;964;1652;;;;;;
1;14;2916;3886800;1204;1706;;;;;;
1;15;2672;3682000;1111;1556;;;;;;
1;16;3074;3917300;1207;1861;;;;;;
1;17;2231;3759300;948;1278;;;;;;
1;18;2367;3700100;956;1406;;;;;;
1;19;2110;3419300;919;1186;;;;;;
1;20;2157;3627100;910;1242;;;;;;
1;21;20;1733100;10;6;;;;;;
1;22;39;1834200;19;17;;;;;;
1;23;23;1779400;11;9;;;;;;
1;24;32;1857400;15;14;;;;;;
1;25;19;1843600;9;7;;;;;;
1;26;27;1945500;13;12;;;;;;
1;27;128;2005000;51;74;;;;;;
1;28;19;1695300;10;6;;;;;;
1;29;21;1712300;11;7;;;;;;
1;30;26;1672800;13;10;;;;;;
1;31;21;1648900;11;7;;;;;;
1;32;61;1745200;28;30;;;;;;
1;33;80;1780000;35;43;;;;;;
1;34;23;1612900;12;9;;;;;;
1;35;144;1654900;53;89;;;;;;
1;36;2206;1599800;908;1295;;;;;;
1;37;2119;1551600;849;1268;;;;;;
1;38;3188;1691400;1405;1780;;;;;;
1;39;2563;1776900;1012;1549;;;;;;
1;40;2175;1646300;886;1286;;;;;;
1;41;1323;1543500;578;741;;;;;;
1;42;2444;1677300;944;1497;;;;;;
1;43;1748;1667600;717;1028;;;;;;
1;44;3372;1691000;1469;1900;;;;;;
1;45;1958;1580800;800;1155;;;;;;
1;46;2222;1569100;933;1287;;;;;;
1;47;2501;1580900;982;1517;;;;;;
1;48;2273;1595100;900;1369;;;;;;
1;49;2134;1686100;863;1268;;;;;;
1;50;2599;1649800;1104;1492;;;;;;
1;51;35;3760600;18;12;;;;;;
1;52;67;4113300;33;28;;;;;;
1;53;68;4190200;32;31;;;;;;
