Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
4;40000;122928544;;;;;;;;;
4;60000;271134448;;;;;;;;;
4;80000;439357656;;;;;;;;;
4;100000;615497864;;;;;;;;;
5;20000;37776632;;;;;;;;;
5;40000;122938920;;;;;;;;;
5;60000;271144824;;;;;;;;;
5;80000;439368032;;;;;;;;;
5;100000;615508240;;;;;;;;;
6;20000;37787032;;;;;;;;;
6;40000;122949320;;;;;;;;;
6;60000;271155224;;;;;;;;;
6;80000;439378432;;;;;;;;;
6;100000;615518640;;;;;;;;;
7;20000;37797408;;;;;;;;;
7;40000;122959696;;;;;;;;;
7;60000;271165600;;;;;;;;;
7;80000;439388808;;;;;;;;;
7;100000;615529016;;;;;;;;;
8;20000;37807808;;;;;;;;;
8;40000;122970096;;;;;;;;;
8;60000;271176000;;;;;;;;;
8;80000;439399208;;;;;;;;;
8;100000;615539416;;;;;;;;;
9;20000;37818208;;;;;;;;;
9;40000;122980496;;;;;;;;;
9;60000;271186400;;;;;;;;;
9;80000;439409608;;;;;;;;;
9;100000;615549816;;;;;;;;;
10;20000;37828608;;;;;;;;;
10;40000;122990896;;;;;;;;;
10;60000;271196800;;;;;;;;;
10;80000;439420008;;;;;;;;;
10;100000;615560216;;;;;;;;;
11;20000;37839032;;;;;;;;;
11;40000;123001320;;;;;;;;;
11;60000;271207224;;;;;;;;;
11;80000;439430432;;;;;;;;;
11;100000;615570640;;;;;;;;;
12;20000;37849432;;;;;;;;;
12;40000;123011720;;;;;;;;;
12;60000;271217624;;;;;;;;;
12;80000;439440832;;;;;;;;;
12;100000;615581040;;;;;;;;;
13;20000;37859832;;;;;;;;;
13;40000;123022120;;;;;;;;;
13;60000;271228024;;;;;;;;;
13;80000;439451232;;;;;;;;;
13;100000;615591440;;;;;;;;;
14;20000;37870232;;;;;;;;;
14;40000;123032520;;;;;;;;;
14;60000;271238424;;;;;;;;;
14;80000;439461632;;;;;;;;;
14;100000;615601840;;;;;;;;;
15;20000;37880632;;;;;;;;;
15;40000;123042920;;;;;;;;;
15;60000;271248824;;;;;;;;;
15;80000;439472032;;;;;;;;;
15;100000;615612240;;;;;;;;;
16;20000;37891056;;;;;;;;;
16;40000;123053344;;;;;;;;;
16;60000;271259248;;;;;;;;;
16;80000;439482456;;;;;;;;;
16;100000;615622664;;;;;;;;;
17;20000;37892984;;;;;;;;;
17;40000;123055272;;;;;;;;;
17;60000;271261176;;;;;;;;;
17;80000;439484384;;;;;;;;;
17;100000;615624592;;;;;;;;;
18;20000;37903384;;;;;;;;;
18;40000;123065672;;;;;;;;;
18;60000;271271576;;;;;;;;;
18;80000;439494784;;;;;;;;;
18;100000;615634992;;;;;;;;;
19;20000;37913784;;;;;;;;;
19;40000;123076072;;;;;;;;;
19;60000;271281976;;;;;;;;;
19;80000;439505184;;;;;;;;;
19;100000;615645392;;;;;;;;;
20;20000;37924160;;;;;;;;;
20;40000;123086448;;;;;;;;;
20;60000;271292352;;;;;;;;;
20;80000;439515560;;;;;;;;;
20;100000;615655768;;;;;;;;;
21;20000;37934560;;;;;;;;;
21;40000;123096848;;;;;;;;;
21;60000;271302752;;;;;;;;;
21;80000;439525960;;;;;;;;;
21;100000;615666168;;;;;;;;;
22;20000;37944960;;;;;;;;;
22;40000;123107248;;;;;;;;;
22;60000;271313152;;;;;;;;;
22;80000;439536360;;;;;;;;;
22;100000;615676568;;;;;;;;;
23;20000;37955408;;;;;;;;;
23;40000;123117696;;;;;;;;;
23;60000;271323600;;;;;;;;;
23;80000;439546808;;;;;;;;;
23;100000;615687016;;;;;;;;;
24;20000;37965808;;;;;;;;;
24;40000;123128096;;;;;;;;;
24;60000;271334000;;;;;;;;;
24;80000;439557208;;;;;;;;;
24;100000;615697416;;;;;;;;;
;;;;;;;;;;;
Step;Chunk;Tempo consulta(ms);Tempo de busca no índice(ns);Tempo do cálculo de relevância(ms);Tempo da ordenação do resultado(ms);;;;;;
0;1;934;1661700;354;576;;;;;;
0;2;1187;1489800;379;805;;;;;;
0;3;1189;1507200;462;724;;;;;;
0;4;1772;1574700;611;1158;;;;;;
0;5;1211;1739500;437;771;;;;;;
0;6;1610;1684900;543;1063;;;;;;
0;7;1026;1598200;407;617;;;;;;
0;8;1455;1639400;526;926;;;;;;
0;9;1213;1603800;449;762;;;;;;
0;10;1265;1492200;450;813;;;;;;
0;11;1992;3428400;753;1234;;;;;;
0;12;3078;3383600;1224;1849;;;;;;
0;13;2671;3487700;901;1764;;;;;;
0;14;2762;3186800;995;1762;;;;;;
0;15;2740;3341800;1284;1451;;;;;;
0;16;3257;3562300;1114;2137;;;;;;
0;17;1943;2878900;697;1242;;;;;;
0;18;2336;3469800;869;1462;;;;;;
0;19;2118;3053000;757;1356;;;;;;
0;20;2060;3033000;731;1325;;;;;;
0;21;17;1379400;10;6;;;;;;
0;22;36;1494400;18;16;;;;;;
